,T1-4,,,,,,,,,,T5,,,
,Return,Times ,0.00%,,,,,,,,Return,Times ,0.00%,
,7,0,0.00%,0,,,,,,,5,18,25.35%,90
,8,8,4.15%,64,,,,,,,6,18,25.35%,108
,9,8,4.15%,72,,,,,,,7,14,19.72%,98
,10,10,5.18%,100,,,,,,,8,4,5.63%,32
,11,8,4.15%,88,,,,,,,9,10,14.08%,90
,12,16,8.29%,192,,,,,,,10,5,7.04%,50
,13,26,13.47%,338,,,,,,,11,1,1.41%,11
,14,20,10.36%,280,,,,,,,12,1,1.41%,12
,15,13,6.74%,195,,,,,,,,71,,491
,16,0,0.00%,0,,,,,,,,,,
,17,5,2.59%,85,,,,,,,,Average,6.915492958,
,18,7,3.63%,126,,,,,,,,Divation,0.1186781658,
,19,3,1.55%,57,,,,,,,65%,Lower,6.796814792,
,20,9,4.66%,180,,,,,,,,Higher,7.034171124,
,21,2,1.04%,42,,,,,,,95%,Lower,6.678136626,
,22,1,0.52%,22,,,,,,,,Higher,7.152849289,
,23,4,2.07%,92,,,,,,,99%,Lower,6.55945846,
,24,3,1.55%,72,,,,,,,,Higher,7.271527455,
,25,4,2.07%,100,,,,,,,,,,
,26,4,2.07%,104,,,,,,,,,,
,27,5,2.59%,135,,,,,,,,,,
,28,8,4.15%,224,,,,,,,,,,
,29,0,0.00%,0,,,,,,,,,,
,30,3,1.55%,90,,,,,,,,,,
,31,3,1.55%,93,,,,,,,,,,
,32,7,3.63%,224,,,,,,,,,,
,33,1,0.52%,33,,,,,,,,,,
,34,1,0.52%,34,,,,,,,,,,
,35,2,1.04%,70,,,,,,,,,,
,36,1,0.52%,36,,,,,,,,,,
,37,2,1.04%,74,,,,,,,,,,
,38,4,2.07%,152,,,,,,,,,,
,39,2,1.04%,78,,,,,,,,,,
,40,3,1.55%,120,,,,,,,,,,
,,193,,3572,,,,,,,,,,
,,,,,,,,,,,,,,
,,Average,18.50777202,,,,,,,,,,,
,,Divation,5.82429909,,,,,,,,,,,
,65%,Lower,12.68347293,,,,,,,,,,,
,,Higher,24.33207111,,,,,,,,,,,
,95%,Lower,7,,,,,,,,,,,
,,Higher,30.1563702,,,,,,,,,,,
,99%,Lower,7,,,,,,,,,,,
,,Higher,35.98066929,,,,,,,,,,,